ID,Cooperative,MeterName
4,Coopeguanacaste,Canalete_Unidad2
5,Coopeguanacaste,Canalete_Unidad1
6,Conelectricas,ION_Pocosol
7,Conelectricas,ION_SanLorenzo
8,Conelectricas,Sub_Laguna
9,Coopealfaroruiz,Sub_Laguna
10,Coopealfaroruiz,Sub_Zarcero
11,Coopeguanacaste,BIJAGUA_U1
12,Coopeguanacaste,BIJAGUA_U2
13,Coopeguanacaste,BIJAGUA_MIRAVALLES_L1
14,Coopeguanacaste,BIJAGUA_CANALETE_L2
15,Coopeguanacaste,MIRAVALLES_CANALETE
16,Coopeguanacaste,MIRAVALLES_BIJAGUA
19,Coopeguanacaste,JUANILAMA_PRINCIPAL
20,Coopeguanacaste,PERN
24,Conelectricas,Agua_Blanca
25,Coopesantos,Naranjito
26,Coopesantos,ICE_SR_1
27,Coopesantos,ICE_Acosta
28,Coopesantos,ICE_Lucha
29,Coopesantos,ICE_PELS_SR1
30,Coopeguanacaste,Cacao
31,Coopeguanacaste,Cacao_Nicoya
32,Coopeguanacaste,Cacao_StaCruz
46,Coopesantos,PELS_bck
47,Coopeguanacaste,KFC_NICOYA
48,Coopeguanacaste,Casa_Chameleon
49,Coopeguanacaste,CCSS_Hojancha
50,Coopeguanacaste,Hotel_Westin
51,Coopeguanacaste,Melonera_del_Monte
52,Coopeguanacaste,Torre_Hospital_Anexion
53,Coopeguanacaste,Coopecompro_El_Coco
54,Coopeguanacaste,Occidental_Tamarindo
